MSOA21CD,provider_code,provider_name
E02001044,R0A,Manchester University NHS Foundation Trust
E02001045,R0A,Manchester University NHS Foundation Trust
E02001046,R0A,Manchester University NHS Foundation Trust
E02001047,R0A,Manchester University NHS Foundation Trust
E02001048,R0A,Manchester University NHS Foundation Trust
E02001049,R0A,Manchester University NHS Foundation Trust
E02001050,R0A,Manchester University NHS Foundation Trust
E02001051,R0A,Manchester University NHS Foundation Trust
E02001052,R0A,Manchester University NHS Foundation Trust
E02001053,R0A,Manchester University NHS Foundation Trust
E02001055,R0A,Manchester University NHS Foundation Trust
E02001056,R0A,Manchester University NHS Foundation Trust
E02001059,R0A,Manchester University NHS Foundation Trust
E02001061,R0A,Manchester University NHS Foundation Trust
E02001062,R0A,Manchester University NHS Foundation Trust
E02001063,R0A,Manchester University NHS Foundation Trust
E02001064,R0A,Manchester University NHS Foundation Trust
E02001065,R0A,Manchester University NHS Foundation Trust
E02001066,R0A,Manchester University NHS Foundation Trust
E02001067,R0A,Manchester University NHS Foundation Trust
E02001068,R0A,Manchester University NHS Foundation Trust
E02001069,R0A,Manchester University NHS Foundation Trust
E02001070,R0A,Manchester University NHS Foundation Trust
E02001072,R0A,Manchester University NHS Foundation Trust
E02001073,R0A,Manchester University NHS Foundation Trust
E02001074,R0A,Manchester University NHS Foundation Trust
E02001075,R0A,Manchester University NHS Foundation Trust
E02001076,R0A,Manchester University NHS Foundation Trust
E02001077,R0A,Manchester University NHS Foundation Trust
E02001078,R0A,Manchester University NHS Foundation Trust
E02001079,R0A,Manchester University NHS Foundation Trust
E02001080,R0A,Manchester University NHS Foundation Trust
E02001081,R0A,Manchester University NHS Foundation Trust
E02001082,R0A,Manchester University NHS Foundation Trust
E02001083,R0A,Manchester University NHS Foundation Trust
E02001084,R0A,Manchester University NHS Foundation Trust
E02001085,R0A,Manchester University NHS Foundation Trust
E02001086,R0A,Manchester University NHS Foundation Trust
E02001087,R0A,Manchester University NHS Foundation Trust
E02001088,R0A,Manchester University NHS Foundation Trust
E02001089,R0A,Manchester University NHS Foundation Trust
E02001090,R0A,Manchester University NHS Foundation Trust
E02001091,R0A,Manchester University NHS Foundation Trust
E02001092,R0A,Manchester University NHS Foundation Trust
E02001093,R0A,Manchester University NHS Foundation Trust
E02001094,R0A,Manchester University NHS Foundation Trust
E02001095,R0A,Manchester University NHS Foundation Trust
E02001096,R0A,Manchester University NHS Foundation Trust
E02001097,R0A,Manchester University NHS Foundation Trust
E02001211,R0A,Manchester University NHS Foundation Trust
E02001214,R0A,Manchester University NHS Foundation Trust
E02001222,R0A,Manchester University NHS Foundation Trust
E02001226,R0A,Manchester University NHS Foundation Trust
E02001240,R0A,Manchester University NHS Foundation Trust
E02001252,R0A,Manchester University NHS Foundation Trust
E02001259,R0A,Manchester University NHS Foundation Trust
E02001260,R0A,Manchester University NHS Foundation Trust
E02001261,R0A,Manchester University NHS Foundation Trust
E02001262,R0A,Manchester University NHS Foundation Trust
E02001263,R0A,Manchester University NHS Foundation Trust
E02001264,R0A,Manchester University NHS Foundation Trust
E02001265,R0A,Manchester University NHS Foundation Trust
E02001266,R0A,Manchester University NHS Foundation Trust
E02001267,R0A,Manchester University NHS Foundation Trust
E02001268,R0A,Manchester University NHS Foundation Trust
E02001269,R0A,Manchester University NHS Foundation Trust
E02001270,R0A,Manchester University NHS Foundation Trust
E02001271,R0A,Manchester University NHS Foundation Trust
E02001272,R0A,Manchester University NHS Foundation Trust
E02001273,R0A,Manchester University NHS Foundation Trust
E02001274,R0A,Manchester University NHS Foundation Trust
E02001275,R0A,Manchester University NHS Foundation Trust
E02001276,R0A,Manchester University NHS Foundation Trust
E02001277,R0A,Manchester University NHS Foundation Trust
E02001278,R0A,Manchester University NHS Foundation Trust
E02001279,R0A,Manchester University NHS Foundation Trust
E02001280,R0A,Manchester University NHS Foundation Trust
E02001281,R0A,Manchester University NHS Foundation Trust
E02001282,R0A,Manchester University NHS Foundation Trust
E02001283,R0A,Manchester University NHS Foundation Trust
E02001284,R0A,Manchester University NHS Foundation Trust
E02001285,R0A,Manchester University NHS Foundation Trust
E02001286,R0A,Manchester University NHS Foundation Trust
E02003856,R0A,Manchester University NHS Foundation Trust
E02003857,R0A,Manchester University NHS Foundation Trust
E02003859,R0A,Manchester University NHS Foundation Trust
E02006902,R0A,Manchester University NHS Foundation Trust
E02006912,R0A,Manchester University NHS Foundation Trust
E02006913,R0A,Manchester University NHS Foundation Trust
E02006914,R0A,Manchester University NHS Foundation Trust
E02006915,R0A,Manchester University NHS Foundation Trust
E02006916,R0A,Manchester University NHS Foundation Trust
E02006917,R0A,Manchester University NHS Foundation Trust
E02006983,R0A,Manchester University NHS Foundation Trust
