month,provider_code,provider_name,total_waiting,within_18_weeks,pct_within_18_weeks,median_wait_weeks,p92_wait_weeks,over_52_weeks,over_65_weeks,over_78_weeks,england_pct_within_18_weeks,difference_vs_england,rank_within_18_weeks
2024-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,301,281,93.35548172757476,7.65789473684211,15.6533333333333,0,0,0,65.15442490751133,28.201056820063428,16.0
2024-04-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,193,176,91.19170984455958,5.5,18.39,0,0,0,65.15442490751133,26.037284937048256,17.0
2024-04-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1263,918,72.68408551068883,10.9117647058824,29.9973333333333,11,3,0,65.15442490751133,7.529660603177504,62.0
2024-04-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,196,175,89.28571428571429,5.23076923076923,20.58,0,0,0,65.15442490751133,24.131289378202965,20.0
2024-04-01,R1H,BARTS HEALTH NHS TRUST,1043,895,85.81016299137104,6.77717391304348,25.39,7,2,0,65.15442490751133,20.655738083859717,33.0
2024-04-01,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1093,939,85.9103385178408,9.04464285714286,25.0509090909091,5,2,0,65.15442490751133,20.755913610329472,32.0
2024-04-01,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,808,476,58.91089108910891,14.3461538461538,35.8177777777778,1,0,0,65.15442490751133,-6.243533818402419,88.0
2024-04-01,RMC,BOLTON NHS FOUNDATION TRUST,1112,436,39.20863309352518,24.7058823529412,57.46,155,0,0,65.15442490751133,-25.945791813986148,115.0
2024-04-01,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,378,329,87.03703703703704,4.58823529411765,20.595,0,0,0,65.15442490751133,21.88261212952571,27.0
2024-04-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,985,548,55.63451776649746,14.875,41.7333333333333,2,0,0,65.15442490751133,-9.519907141013867,97.0
2024-04-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,925,715,77.29729729729729,9.75925925925926,26.6923076923077,0,0,0,65.15442490751133,12.142872389785964,55.0
2024-04-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1758,1366,77.7019340159272,9.11111111111111,27.6505263157895,6,0,0,65.15442490751133,12.547509108415866,51.0
2024-04-01,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1437,723,50.31315240083507,17.3571428571429,48.5317647058824,59,0,0,65.15442490751133,-14.841272506676255,105.0
2024-04-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,838,447,53.341288782816235,16.4166666666667,36.9933333333333,5,2,0,65.15442490751133,-11.813136124695092,100.0
2024-04-01,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,590,307,52.03389830508475,15.8333333333333,48.36,21,0,0,65.15442490751133,-13.12052660242658,102.0
2024-04-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,903,381,42.19269102990033,21.3863636363636,43.68,16,0,0,65.15442490751133,-22.961733877610996,114.0
2024-04-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,823,686,83.35358444714458,8.65555555555556,22.1436363636364,0,0,0,65.15442490751133,18.199159539633257,39.0
2024-04-01,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,983,680,69.17599186164801,10.8636363636364,28.9573333333333,2,0,0,65.15442490751133,4.021566954136688,74.0
2024-04-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,148,146,98.64864864864865,4.7,12.08,0,0,0,65.15442490751133,33.49422374113732,2.0
2024-04-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1244,701,56.35048231511254,14.8947368421053,36.2485714285714,8,1,0,65.15442490751133,-8.80394259239879,95.0
2024-04-01,RJN,EAST CHESHIRE NHS TRUST,0,0,,,,0,0,0,65.15442490751133,,
2024-04-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2872,1310,45.61281337047354,20.3125,39.9661538461539,3,0,0,65.15442490751133,-19.541611537037788,109.0
2024-04-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1445,652,45.121107266435985,20.7954545454545,43.8105263157895,19,0,0,65.15442490751133,-20.033317641075342,111.0
2024-04-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,951,892,93.79600420609884,5.78289473684211,16.1946666666667,0,0,0,65.15442490751133,28.641579298587516,13.0
2024-04-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,476,340,71.42857142857143,11.0909090909091,28.9866666666667,3,0,0,65.15442490751133,6.2741465210601035,68.0
2024-04-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,584,424,72.6027397260274,9.71428571428571,33.76,11,0,0,65.15442490751133,7.448314818516067,63.0
2024-04-01,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0,0,,,,0,0,0,65.15442490751133,,
